row_id,dataset_idx,question,decision,gold,pred,all_gold_answers,context_full,retrieval_quality,utilization_type,notes
0,3,2014년 일하고 싶은 50대 회사 중에서 5위로 선정된 기업은?,SEARCH,페이스북,링크트인,페이스북,"가장 일하고 싶은 회사로 미국 컨설팅 업체인 베인&컴퍼니가 선정됐다. 트위터와 링크트인, 페이스북 등 정보기술(IT) 기업에 대한 선호도 높게 나타났다. 미국 경제전문지 포브스는 “채용 사이트인 글라스도어가 미국에서 일하는 50만명의 직장인을 대상으로 설문조사를 벌여 ‘2014년 일하고 싶은 50대 회사’를 선정했다”고 11일(현지시간) 보도했다. 베인&컴퍼니는 2012년에 이어 두 번째로 1위에 올랐다. 하는 일이 재미있고 일이 영향력이 있으며, 함께 일하는 사람들이 똑똑해서 많이 배울 수 있다는 것 등이 직원들이 베인&컴퍼니에 만족하는 주된 이유였다. 서맨사 주판 글라스도어 대변인은 “베인&컴퍼니 직원들은 늘 새로운 것을 배울 수 있고 도전적인 일이 많아 하루도 지루한 날이 없다고 평가했다”며 “이런 경험은 회사를 그만둔 후에도 개인 경력에 도움이 된다”고 말했다. 트위터가 2위를 차지했다. 트위터 직원들은 복잡하고 중요한 일을 매일 하면서 전 세계 수백만명의 사용자들과 소통할 수 있다는 점을 회사에 다니고 싶은 이유로 꼽았다. 트위터에 이어 링크트인과 페이스북이 각각 3위, 5위를 차지하는 등 IT 기업의 선전도 눈에 띄었다. 글라스도어는 “톱 50 가운데 22개가 IT 기업”이라며 “서로 더 좋은 인재를 영입하고, 기존의 인재를 뺏기지 않기 위해 경쟁하는 것이 더 매력적인 기업환경을 만들기 위한 노력으로 이어지고 있다”고 설명했다. 2009년부터 일하고 싶은 회사를 선정해 발표하고 있는 글라스도어는 2012년 11월부터 지난달까지 회사에 대한 만족도, 임금이나 복지 혜택, 일과 가정 사이의 균형, 경영자에 대한 평가 등 18개의 질문으로 구성된 설문조사를 실시했다. 글라스도어는 “구직자들이 어느 회사에서 일할지 결정하는 데 좋은 정보를 주는 자료”라며 “특히 현장에서 일하는 직원의 평가라는 점에서 리스트에 오른 기업들은 자부심을 가져도 될 것”이라고 평가했다. 상위권에 오른 기업들은 공통점을 가지고 있었다. 미국 경제경영전문지 패스트컴퍼니는 일하고 싶은 기업의 6가지 특징으로 목표를 분명하게 설정하는 것, 일하는 과정에서 협동을 중요시하는 것, 도전적인 일을 하는 것, 회사가 꾸준히 발전하는 것, 리더가 자신감을 갖고 투명하게 경영하는 것, 충분한 보상을 하는 것 등을 꼽았다.",,,
1,4,포브스의 2014년 일하고 싶은 50대 회사 조사에서 5위를 한 기업은?,SEARCH,페이스북,링크트인,페이스북,"가장 일하고 싶은 회사로 미국 컨설팅 업체인 베인&컴퍼니가 선정됐다. 트위터와 링크트인, 페이스북 등 정보기술(IT) 기업에 대한 선호도 높게 나타났다. 미국 경제전문지 포브스는 “채용 사이트인 글라스도어가 미국에서 일하는 50만명의 직장인을 대상으로 설문조사를 벌여 ‘2014년 일하고 싶은 50대 회사’를 선정했다”고 11일(현지시간) 보도했다. 베인&컴퍼니는 2012년에 이어 두 번째로 1위에 올랐다. 하는 일이 재미있고 일이 영향력이 있으며, 함께 일하는 사람들이 똑똑해서 많이 배울 수 있다는 것 등이 직원들이 베인&컴퍼니에 만족하는 주된 이유였다. 서맨사 주판 글라스도어 대변인은 “베인&컴퍼니 직원들은 늘 새로운 것을 배울 수 있고 도전적인 일이 많아 하루도 지루한 날이 없다고 평가했다”며 “이런 경험은 회사를 그만둔 후에도 개인 경력에 도움이 된다”고 말했다. 트위터가 2위를 차지했다. 트위터 직원들은 복잡하고 중요한 일을 매일 하면서 전 세계 수백만명의 사용자들과 소통할 수 있다는 점을 회사에 다니고 싶은 이유로 꼽았다. 트위터에 이어 링크트인과 페이스북이 각각 3위, 5위를 차지하는 등 IT 기업의 선전도 눈에 띄었다. 글라스도어는 “톱 50 가운데 22개가 IT 기업”이라며 “서로 더 좋은 인재를 영입하고, 기존의 인재를 뺏기지 않기 위해 경쟁하는 것이 더 매력적인 기업환경을 만들기 위한 노력으로 이어지고 있다”고 설명했다. 2009년부터 일하고 싶은 회사를 선정해 발표하고 있는 글라스도어는 2012년 11월부터 지난달까지 회사에 대한 만족도, 임금이나 복지 혜택, 일과 가정 사이의 균형, 경영자에 대한 평가 등 18개의 질문으로 구성된 설문조사를 실시했다. 글라스도어는 “구직자들이 어느 회사에서 일할지 결정하는 데 좋은 정보를 주는 자료”라며 “특히 현장에서 일하는 직원의 평가라는 점에서 리스트에 오른 기업들은 자부심을 가져도 될 것”이라고 평가했다. 상위권에 오른 기업들은 공통점을 가지고 있었다. 미국 경제경영전문지 패스트컴퍼니는 일하고 싶은 기업의 6가지 특징으로 목표를 분명하게 설정하는 것, 일하는 과정에서 협동을 중요시하는 것, 도전적인 일을 하는 것, 회사가 꾸준히 발전하는 것, 리더가 자신감을 갖고 투명하게 경영하는 것, 충분한 보상을 하는 것 등을 꼽았다.",,,
2,10,가공하는데 몇 초밖에 걸리지 않는 물질은?,SEARCH,실리콘유,셀룰로오스의 히드록시기와 반응하여 천 위를 덮어서 방수성을 준다. (몇 초만),실리콘유,"규소 수지(硅素樹脂)는 실리콘 물질의 일종이다.

이산화규소는 1개의 규소 원자를 4개의 산소 원자로 둘러싼 정사면체 구조를 가지고 있는데, 사면체 구조가 2개의 탄소 원자를 공유하면서, 사슬 모양으로 길게 연결된 것은 휘석의 구조이다. 다른 2개의 산소 원자가 알킬기로 치환된 것을 오르가노폴리실록산이라고 한다. 오르가노폴리실록산류를 실리콘이라고 총칭하는데, 중합시켜 사슬 모양을 길게 하거나 평면 구조를 넓게 하든지 그물 모양 구조로 하면 실리콘유·실리콘 고무·실리콘 수지가 제조된다. 오르가노폴리실록산은 실란을 원료로 하여 만들어진다. 실리콘유는 디메틸폴리실록산으로 1분자마다 평균 10개의 규소 원자가 함유되어 있다. 내열, 내구성이 좋고, 보통 탄화수소의 점포가 1800배나 변화한다(37-38℃의 온도 범위에서 실리콘유는 7배밖에 변화하지 않는다). 또 무명천을 트리메틸클로로실란 증기에 몇 초만 쪼여도 셀룰로오스의 히드록시기와 반응하여 천 위를 덮어서 방수성을 준다. 실리콘 고무는 오르가노폴리실록산에 산화 아연이나 카본블랙 등의 무기 충전제와 경화제를 혼합시켜 성형 후 가열하여 만들어진다. 알킬기의 90% 이상이 메틸기로 150℃에서 장시간 가열해도 변하지 않고 300℃에서도 심하게 분해하지 않는다. 또, 온도에 의한 유전율의 변화도 작다. 실리콘 수지의 주성분은 디메틸폴리실록산으로 알킬기와 규소 원자의 비율이 클수록, 또 알킬기의 탄소 원자의 수가 많을수록 유연하고 탄성이 많은 수지가 된다. 알킬기가 메틸기일 때에 내열성이 가장 커서 공기 속에서 200℃로 1년 이상 가열하여도 변화하지 않는다. 이와 같이 실리콘은 내열내한성·내습내수성이 뛰어나고 전기절연성이 우수하여 용도가 널리 개발되고 있다.

제목=규소 수지
 

*",,,
3,11,실리콘을 실리콘유로 만들기 위해 거치는 과정은?,SEARCH,실리콘,실란을 원료로 사용하여 디메틸폴리실록산으로 만든다,실리콘,"규소 수지(硅素樹脂)는 실리콘 물질의 일종이다.

이산화규소는 1개의 규소 원자를 4개의 산소 원자로 둘러싼 정사면체 구조를 가지고 있는데, 사면체 구조가 2개의 탄소 원자를 공유하면서, 사슬 모양으로 길게 연결된 것은 휘석의 구조이다. 다른 2개의 산소 원자가 알킬기로 치환된 것을 오르가노폴리실록산이라고 한다. 오르가노폴리실록산류를 실리콘이라고 총칭하는데, 중합시켜 사슬 모양을 길게 하거나 평면 구조를 넓게 하든지 그물 모양 구조로 하면 실리콘유·실리콘 고무·실리콘 수지가 제조된다. 오르가노폴리실록산은 실란을 원료로 하여 만들어진다. 실리콘유는 디메틸폴리실록산으로 1분자마다 평균 10개의 규소 원자가 함유되어 있다. 내열, 내구성이 좋고, 보통 탄화수소의 점포가 1800배나 변화한다(37-38℃의 온도 범위에서 실리콘유는 7배밖에 변화하지 않는다). 또 무명천을 트리메틸클로로실란 증기에 몇 초만 쪼여도 셀룰로오스의 히드록시기와 반응하여 천 위를 덮어서 방수성을 준다. 실리콘 고무는 오르가노폴리실록산에 산화 아연이나 카본블랙 등의 무기 충전제와 경화제를 혼합시켜 성형 후 가열하여 만들어진다. 알킬기의 90% 이상이 메틸기로 150℃에서 장시간 가열해도 변하지 않고 300℃에서도 심하게 분해하지 않는다. 또, 온도에 의한 유전율의 변화도 작다. 실리콘 수지의 주성분은 디메틸폴리실록산으로 알킬기와 규소 원자의 비율이 클수록, 또 알킬기의 탄소 원자의 수가 많을수록 유연하고 탄성이 많은 수지가 된다. 알킬기가 메틸기일 때에 내열성이 가장 커서 공기 속에서 200℃로 1년 이상 가열하여도 변화하지 않는다. 이와 같이 실리콘은 내열내한성·내습내수성이 뛰어나고 전기절연성이 우수하여 용도가 널리 개발되고 있다.

제목=규소 수지
 

*",,,
4,18,성서를 영어로 번역한 인물에게 영향을 받은 사람은?,SEARCH,얀 후스,존 위클리프,얀 후스,"에라스무스의 초상
 르네상스 인문주의 문서를 참고하십시오.
초기 르네상스 시기 교황청은 사실상 독자적인 영토를 지닌 세속 국가이면서 동시에 다른 군주들의 비판을 허용하지 않는 무소불위의 권위였다. 게다가 실재 교회의 운영은 성직의 매매가 공공연히 이루어지고, 교황이 자신의 사생아를 조카라 부르며 요직에 앉히는 네포티즘이 횡횡하는 등 부패가 만연하였다.
르네상스 인문주의 시기의 학자들은 교회의 타락에 대해 비판하였다. 에라스무스는 《우신예찬》 과 같은 저술을 통해 당시 로마 가톨릭 교황청의 오만과 어리석음을 질타하였고, 존 위클리프는 성서의 참 뜻을 대중이 알아야 한다고 여겨 라틴어로 된 성서를 영어로 번역하였다. 보헤미아 왕국의 얀 후스는 존 위클리프의 영향을 받아 성서를 기독교 믿음의 유일한 권위로 인정하여야 한다고 주장하였고, 교황청의 면죄부 판매를 비판하였다. 후스는 지기스문트의 신변 보장 약속을 받고콘스탄츠 공의회에 참석하였으나 이단으로 몰려 화형에 처해졌다. 로마 가톨릭은 인문주의 학자들의 이러한 비판을 수용하지 않았고 탄압하였지만, 이들의 사상은 큰 호응을 얻어 종교개혁에 영향을 주었다.",,,
5,21,법무법인 한결이 세워진 지 10년차에 합병된 업체의 이름은?,SEARCH,법무법인 내일,한살림,법무법인 내일 | 내일,"“유능한 변호사들을 팀 단위로 영입해 규모의 경제와 전문성을 꾀하겠다.”안식 법무법인 한결 대표변호사(사법연수원 29기·사진)가 변호사 업계를 향해 ‘공개 구혼장’을 던졌다. 경기불황으로 잔뜩 몸을 움츠리고 있는 대부분 로펌과는 대조적인 모습이다. 지난 17일 서울 광화문 교보빌딩 사무실에서 만난 안 대표는 “향후 2~3년 사이에 변호사 업계에 구조재편이 예상되며 그 트리거(방아쇠)는 내부고리가 약한 중형 로펌이 될 것”이라며 이같이 말했다. 그는 “그동안 내실을 다져온 한결이 이합집산에 태풍의 눈이 돼 플랫폼 역할을 담당할 수 있을 것”이라고 자신감을 내비쳤다. 안 대표의 이런 자신감은 어디서 나오는 것일까. 그의 설명을 종합해보면 잇따른 합병을 통한 경험과 조직 운영 노하우가 축적된 결과다.1997년 송두환 전 헌법재판관 등이 설립한 한결은 2007년에는 법무법인 내일과, 2011년에는 법무법인 한울과 합쳐 한살림을 차렸다. 이로써 정태상 이인호 변호사 등 내일 측의 건설부동산 분야 전문가들과 이경우 김호철 변호사 등 한울 측의 노동 및 건설부동산 분야 베테랑들이 한 식구가 됐다. 올초에는 외교통상부 통상교섭본부장과 삼성전자 해외법무 사장을 지낸 김현종 미국 변호사, 로펌의 외형을 매년 두 배씩 성장시켜 ‘강의법칙’이란 별칭을 얻은 강성 전 법무법인 지성 대표변호사 등을 영입했다. 2000년대 초부터 벤처기업 자문에 전력 투구한 강 변호사는 최근 판교 테크노밸리에 분사무소를 개설했다. 여기에 오는 26일자로 법무법인 원에서 나온 금융팀(전 법무법인 한빛)이 합류한다. 이렇게 되면 한결 소속 국내 변호사는 53명에서 71명으로 늘어난다. 초창기에 주축을 이뤘던 민변(민주사회를 위한 변호사모임) 출신들은 로펌 규모가 커지면서 비중이 30% 이하로 떨어졌다.안 대표는 “두 번의 합병을 거치면서 서로 다른 로펌 간에도 화학적 결합이 가능하다는 자신감을 얻었다”고 말했다. 그는 “로펌 내 자원을 활용하는 내부적 성장전략이 쉽지 않다”며 “한결이 자랑하는 민주적 지배구조와 성과위주의 합리적 보상시스템, 끈끈한 조직문화를 발판으로 유능한 팀 단위 영입 등 인수합병(M&A)을 통해 성장하는 전략을 구사하겠다”고 강조했다. 김병일 기자",,,
6,22,한국예술영재교육원 원장이 현재 학생을 가르치는 곳은?,SEARCH,한국예술종합학교 음악원,한예종 부설 한국예술영재교육원,한국예술종합학교 음악원 | 한국예술종합학교 | 한예종,"“제자들이 (바이올린 연주를) 잘하면 제가 잘하는 것보다 100배는 행복해요. 젊었을 때 인터뷰하면 ‘아직 연주자’라고 했는데 10여년 전부터는 ‘난 역시 가르치는 사람이구나’ 하는 생각이 들어요.”내년 2월 정년 퇴임을 앞두고 오는 20일 서울 서초동 예술의전당 콘서트홀에서 연주회를 여는 김남윤 한국예술종합학교 음악원 교수(65·사진)는 소감을 이렇게 말했다. 지난 10일 한예종 교수실에서 만난 그는 “38년 동안 힘들 때도 많았지만 제자들 생각에 그런 상황을 극복할 수 있었던 것 같다”고 회고했다. “그동안 ‘참 잘 참고 열심히 살았다’는 생각에 스스로를 축하하고 싶은 기분이 들어 연주회를 하게 됐다”고 설명했다.김 교수는 28세였던 1977년 경희대 음대에서 교편을 잡은 뒤 서울대 음대를 거쳐 지금까지 학생들을 가르치고 있다. 이경선·백주영 서울대 교수 같은 중견 연주자부터 권혁주, 클라라 주미 강, 신아라·지아 자매 등 젊은 연주자까지 수많은 바이올리니스트들이 그에게 배웠다. 한국의 내로라하는 수많은 바이올리니스트들의 프로필에서 ‘김남윤 사사(師事·스승으로 섬기고 가르침을 받음)’란 말을 쉽게 찾아볼 수 있다.셀 수 없는 바이올리니스트들이 그의 가르침을 받고 세계적 연주자로 성장했다. 비결은 뭘까. “특별한 노하우는 없어요. 다만 자신 있게 말할 수 있는 건 정말 열심히 가르친다는 점입니다. 아이들 레슨을 거른 적이 없어요. 안식년도 38년간 딱 한 학기뿐이었고요. 아이들 가르치는 게 가장 좋고 학교에 있을 때가 제일 편해요.”교육자로서 가장 기쁜 순간은 “정말 나를 힘들게 한 학생이 갑자기 확 달라질 때”라고 답했다. “아이들이 큰 콩쿠르에서 상을 받을 때도 감격스럽지만 ‘쟤를 어떡하면 좋을까’ 하며 답답하게 여겼던 학생이 어느 순간 완전히 다른 모습을 보여줄 때가 있어요. 그럴 때면 행복해서 눈물이 나요. 이 순간을 위해 계속 가르치는 것 같죠.”내년 2월이면 정년을 맞지만 학생들은 계속 가르칠 예정이다. 지난 9월 한예종 부설 한국예술영재교육원 원장에 임명됐기 때문이다. “정년이 가까워지자 외국의 몇몇 음대에서 와달라는 제안이 있었어요. 갈까 말까 고민도 많이 했는데 한국 학생을 열심히 가르쳐서 잘하게 하는 게 좋겠다는 생각에 남기로 했어요.”이번 연주회는 한예종에서 옆 사무실을 쓰고 있는 김대진 교수와 수원시립교향악단이 함께한다. 수원시향 바이올린 파트에도 그의 제자들이 대거 포진했다. 연주곡은 시벨리우스 핀란디아 서곡과 모차르트 바이올린 협주곡 2번, 브루흐의 ‘스코티시 판타지’ 등이다. ‘스코티시 판타지’는 김 교수가 처음 연주하는 곡이다. “어릴 적부터 해보고 싶었던 곡인데 가르쳐만 봤지 한 번도 무대에선 못해봤어요. 처음 배워 연주하는 곡이라 겁도 나고 떨리네요.” 3만~7만원. (02)541-3183",,,
7,23,허벅지까지 내려오는 미들 기장의 다운 자켓은 이름은?,NO_SEARCH,‘로사다운자켓’,Mid-Calf Length Down Jacket,‘로사다운자켓’ | 로사다운자켓,"언제 어디서나 아이들의 즐거운 활동을 응원하는 블랙야크키즈가 화사한 색감과 사랑스러운 디자인의 여아 전용 다운 자켓 3종을 출시했다. 대표 제품 ‘로사다운자켓’은 컬러풀한 3가지 컬러로 구성된 후드 퍼 부분이 돋보이는 제품이다. 허벅지까지 내려오는 미들 기장의 다운 자켓으로 허리 부분의 스트링으로 허리라인 조절이 가능하여 여성스럽게 연출 가능하다. 생기 있는 느낌의 핑크, 은은한 매력의 라이트 퍼플과 실용적인 블랙 색상으로 구성됐다. ‘샤벳다운자켓’은 후드 부분이 변형되어 가슴 부위까지 내려오는 퍼가 인상적인 다운 자켓이다. 허리 라인을 잡아주어 옷맵시를 살려주는 점이 특징이며, 색상은 사랑스러운 느낌의 화이트와 바이올렛으로 구성됐다. ‘피어론자켓’은 허리 부분의 히든 지퍼로 제품의 밑단 부분을 탈부착하여 길이를 조절할 수 있는 다운 자켓이다. 착장 상황에 따라 숏패딩과 롱패딩 2가지로 활용할 수 있어 실용적인 제품이다. 색상은 베이비 블루, 라일락 2가지로 구성됐다. 이번에 선보이는 여아 전용 다운 자켓 제품들은 RDS(Responsible Down Standard) 인증을 받은 다운 충전재를 사용했다. RDS는 동물 학대와 관련된 행위를 하지 않고, 생산부터 유통까지 윤리적인 방법으로 생산한 다운 제품에 발행되는 인증 마크다. 블랙야크키즈는 동물복지기준을 준수한 과정을 거친 친환경적 제품의 출시를 통해 지속 가능한 패션을 추구하고, 소비자들의 착한 소비에 동참한다.",,,
8,24,데카메론에서 마을의 모든 부자들에게 돈을 달라고 하는 인물은?,SEARCH,걸인,없음,걸인,"나탄은 명망 높은 갑부 노인으로, 한 젊은 부자는 그 노인의 명성에 매우 큰 질투를 느끼고 있었다. 젊은 부자의 집에 한 걸인이 나타나자, 부자는 넉넉잖게 적선을 해 주었는데, 걸인은 집의 서로 다른 출입구로 나타나서 반복해서 구걸을 했고, 이러기를 문마다 반복해서 10번이 넘게 했다. 그러자 젊은 부자는 짜증을 내는데, 그러자 걸인은 나탄은 30번이 넘도록 하는 동안에도 군말 없이 적선을 해주었다면서, 젊은 부자는 역시 나탄에게는 못미치는 부자라고 한다. 그러자, 젊은 부자는 더욱 큰 질투를 느낀다.

젊은 부자는 마침내 나탄을 죽이리라 생각하고 나탄을 죽이러 간다. 그러다가 한 노인을 만났는데, 그 노인은 젊은 부자의 뜻을 알게 되자, 나탄이 매일 산책하러 나타나는 장소와 나탄을 죽이고 안전하게 빠져나가는 방법을 알려준다. 젊은 부자는 그 말을 듣고 그대로 나탄을 죽이려 하는데, 나탄을 죽이려고 보니, 바로 방법을 알려준 노인이 나탄이었다.

나탄은 자신을 찾아온 사람에게 자신은 누구나 원하는 바를 이루도록 베풀어 주었는데, 젊은 부자가 이루는 바를 이룰 수 있도록, 늙은 자신의 쓸모 없는 목숨을 쓰려한 것 뿐이라고 한다. 그러자 젊은 부자는 감격하여 크게 뉘우치고, 나탄을 진심으로 존경하며 용서를 구한다.",,,
9,25,란돌포는 어느 섬에서 해적질을 결심하였는가?,SEARCH,키프로스 섬,코르퓨 섬,키프로스 섬,"란돌포는 부자로 무역을 하기 위해 큰 배에 전재산을 털어 상품을 사서 키프로스 섬으로 간다. 그런데 키프로스 섬에는 자신이 산 것과 같은 물품을 산 배들이 벌써 몇 척이나 와 있어서, 가격 폭락으로 란돌포는 알거지가 될 지경에 이른다. 란돌포는 절망하여 자살할까하다가, 마음을 고쳐먹고 어떻게든 돈을 벌어야겠다고 생각하고, 좋은 장비를 구입하여 터키인 배들을 공격하는 해적질을 시작한다.

란돌포는 해적질을 해서 돈을 모아서 어느 정도 부유해 지자, 이제 더 이상 욕심을 내지 않고 손을 털고 고향으로 돌아가기로 한다. 그런데 거친 폭풍을 만나 잠시 정박해 있을 때, 란돌포의 재물을 탐낸 제노바인 선단이 해적으로 돌변하여 란돌포의 재물을 몽땅 털어간다. 설상가상으로 란돌포는 풍랑을 만나 죽을 위기에 처하게 되는데, 널빤지 하나와 궤짝 하나에 의지해서 망망히 바다위를 떠다니다가 빈 몸으로 코르퓨 섬에 닿는다.

그런데 마침 붙잡고 온 궤짝이 안에 보석들이 담겨 있는 보물상자였으므로, 란돌포는 자루에 보석을 숨겨서 고향으로 돌아온다. 란돌포가 보석을 판 돈은 막대했으므로, 이후에는 장사니 무역이니 하는 것은 다시는 생각하지 않고, 편안히 여생을 보냈다고 한다.",,,
